City,lat,lon,2011,2012,2013,2014,2015,2016,2017
Bainville,,,1.154205607,1.149797571,1.031690141,1.023890785,1.056666667,0.984227129,0.996794872
Belgrade,,,1.012183693,1.006084656,1.004733105,1.014263282,1.028125403,1.027356005,1.045071455
Bozeman,,,1.019993032,1.014661447,1.026335552,1.045693092,1.040197853,1.041984644,1.037287683
Columbia Falls,,,1.001063377,1.003611642,1.013124471,1.024028416,1.029585799,1.028537455,1.031791908
Culbertson,,,1.006925208,1.048143054,1.020997375,1.016709512,1.026548673,0.985221675,0.99
Drummond,,,1.019047619,0.99376947,1.006269592,1.024922118,1.006079027,1.039274924,1.020348837
Ekalaka,,,0.981873112,1.033846154,0.99702381,1.002985075,0.994047619,1.032934132,1.037681159
Ennis,,,1.005988024,1.005952381,1.002366864,1.020070838,1.023148148,1.011312217,1.032438479
Hamilton,,,1.010712622,1.021198157,1.005189531,1.006060606,1.013163766,1.02048007,1.020284851
Helena,,,1.013941833,1.011835555,1.012385179,1.011282156,1.019725125,1.015257365,1.02012399
Joliet,,,1.015410959,1.032040472,1.035947712,1.009463722,0.9953125,1.010989011,1.017080745
Kalispell,,,1.015496537,1.008881256,1.019308399,1.024668384,1.017275902,1.031584729,1.02999645
Manhattan,,,1.015181518,1.003250975,1.009721322,1.003851091,1.040920716,1.036240786,1.037344398
Missoula,,,1.008796034,1.012272209,1.006186019,1.0105664,1.015273982,1.019988101,1.018568671
Rexford,,,1.254545455,1.108695652,1,0.986928105,0.993377483,1.006666667,1.013245033
Sidney,,,1.045582442,1.076605669,1.048325279,1.031791448,1.050377446,0.960252273,0.966549565
Twin Bridges,,,1.005249344,1,1.002610966,1.013020833,1.023136247,1.015075377,1.034653465
Whitefish,,,1.006107109,1.009338521,1.023901311,1.02996988,1.029536482,1.029115183,1.049958598
